Categorie Ville;Code Postal;Nom Magasin;Ligne;Lait demi-écrémé_Produit;Lait demi-écrémé_Prix;Lait demi-écrémé_Unite;Oeufs de poules élevées_Produit;Oeufs de poules élevées_Prix;Oeufs de poules élevées_Unite;Yaourts nature_Produit;Yaourts nature_Prix;Yaourts nature_Unite;Camembert_Produit;Camembert_Prix;Camembert_Unite;Beurre doux_Produit;Beurre doux_Prix;Beurre doux_Unite;Pain complet aux céréales_Produit;Pain complet aux céréales_Prix;Pain complet aux céréales_Unite;Baguettes traditionnelles_Produit;Baguettes traditionnelles_Prix;Baguettes traditionnelles_Unite;Special K_Produit;Special K_Prix;Special K_Unite;Farine de blé_Produit;Farine de blé_Prix;Farine de blé_Unite;Sucre de canne poudre_Produit;Sucre de canne poudre_Prix;Sucre de canne poudre_Unite;Capsule café Nespresso_Produit;Capsule café Nespresso_Prix;Capsule café Nespresso_Unite;Thé noir Twinings_Produit;Thé noir Twinings_Prix;Thé noir Twinings_Unite;Confiture_Produit;Confiture_Prix;Confiture_Unite;Miel naturel_Produit;Miel naturel_Prix;Miel naturel_Unite;Jus d'orange_Produit;Jus d'orange_Prix;Jus d'orange_Unite;Eau gazeuse Badoit_Produit;Eau gazeuse Badoit_Prix;Eau gazeuse Badoit_Unite;Riz basmati_Produit;Riz basmati_Prix;Riz basmati_Unite;Spaghetti_Produit;Spaghetti_Prix;Spaghetti_Unite;Pommes de terre_Produit;Pommes de terre_Prix;Pommes de terre_Unite;Lentilles vertes_Produit;Lentilles vertes_Prix;Lentilles vertes_Unite;Conserves de tomates pelées_Produit;Conserves de tomates pelées_Prix;Conserves de tomates pelées_Unite;Pommes Golden_Produit;Pommes Golden_Prix;Pommes Golden_Unite;Bananes_Produit;Bananes_Prix;Bananes_Unite;Oranges à jus_Produit;Oranges à jus_Prix;Oranges à jus_Unite;Citrons_Produit;Citrons_Prix;Citrons_Unite;Raisins sans pépins_Produit;Raisins sans pépins_Prix;Raisins sans pépins_Unite;Tomates_Produit;Tomates_Prix;Tomates_Unite;Carottes_Produit;Carottes_Prix;Carottes_Unite;Oignons jaunes_Produit;Oignons jaunes_Prix;Oignons jaunes_Unite;Salade verte_Produit;Salade verte_Prix;Salade verte_Unite;Concombres_Produit;Concombres_Prix;Concombres_Unite;Poivrons_Produit;Poivrons_Prix;Poivrons_Unite;Courgettes_Produit;Courgettes_Prix;Courgettes_Unite;Aubergine_Produit;Aubergine_Prix;Aubergine_Unite;Filet Blanc de poulet_Produit;Filet Blanc de poulet_Prix;Filet Blanc de poulet_Unite;Steak haché_Produit;Steak haché_Prix;Steak haché_Unite;Knackis_Produit;Knackis_Prix;Knackis_Unite;Filets de poisson blanc_Produit;Filets de poisson blanc_Prix;Filets de poisson blanc_Unite;Huile d’olive extra vierge_Produit;Huile d’olive extra vierge_Prix;Huile d’olive extra vierge_Unite;Vinaigre balsamique_Produit;Vinaigre balsamique_Prix;Vinaigre balsamique_Unite;Sel marin_Produit;Sel marin_Prix;Sel marin_Unite;Poivre noir_Produit;Poivre noir_Prix;Poivre noir_Unite;Ducros basilic_Produit;Ducros basilic_Prix;Ducros basilic_Unite;Granola_Produit;Granola_Prix;Granola_Unite;Chocolat noir_Produit;Chocolat noir_Prix;Chocolat noir_Unite;Papier toilette_Produit;Papier toilette_Prix;Papier toilette_Unite;Sacs poubelles biodégradables_Produit;Sacs poubelles biodégradables_Prix;Sacs poubelles biodégradables_Unite;Liquide vaisselle_Produit;Liquide vaisselle_Prix;Liquide vaisselle_Unite;Lessive hypoallergénique_Produit;Lessive hypoallergénique_Prix;Lessive hypoallergénique_Unite;Nettoyant multi-usage_Produit;Nettoyant multi-usage_Prix;Nettoyant multi-usage_Unite;Éponges de cuisine_Produit;Éponges de cuisine_Prix;Éponges de cuisine_Unite;Shampooing_Produit;Shampooing_Prix;Shampooing_Unite;Gel douche_Produit;Gel douche_Prix;Gel douche_Unite;Dentifrice_Produit;Dentifrice_Prix;Dentifrice_Unite;Savon mains_Produit;Savon mains_Prix;Savon mains_Unite;Mouchoirs en papier_Produit;Mouchoirs en papier_Prix;Mouchoirs en papier_Unite;Papier aluminium_Produit;Papier aluminium_Prix;Papier aluminium_Unite;Sacs de congélation_Produit;Sacs de congélation_Prix;Sacs de congélation_Unite;Bouillon cube bio_Produit;Bouillon cube bio_Prix;Bouillon cube bio_Unite
Petite Ville;01090;Auchan Drive Supermarché Montceaux Guereins;1;AUCHAN Lait demi-écrémé UHT;1.09;l;AUCHAN BIO Oeufs de poules élevées en plein air;0.35;pce;AUCHAN BIO Yaourt au lait entier nature;1.77;kg;PRESIDENT Camembert au lait pasteurisé;7.4;kg;AUCHAN Beurre tendre doux;9.8;kg;LA BOULANGERE Pain de mie farine de seigle et graines avec croûte;4.92;kg;;;;KELLOGG'S Spécial K Céréales au chocolat noir;7.46;kg;AUCHAN Farine de blé T45;0.69;kg;LA PERRUCHE Cassonade sucre roux en poudre pure canne;3.8;kg;NESCAFE Capsules de café Africas Ristretto Farmers Origins intensité 10 compatibles Nespresso;65.68;kg;TWININGS Original earl grey thé aromatisé bergamote;46.0;kg;BONNE MAMAN Confiture de fraises;5.03;kg;Paris Prix Lot de 20 Serviettes en Papier Miel 38x38cm Naturel;;;AUCHAN Pur jus d'orange sans pulpe;1.99;l;BADOIT Eau gazeuse minérale verte finement pétillante 6x1l;0.63;l;AUCHAN Riz basmati prêt en 11 min;2.74;kg;AUCHAN Spaghetti;1.48;kg;AUCHAN Pommes de terre de consommation frites purée potage;1.4;kg;AUCHAN Lentilles vertes;3.44;kg;AUCHAN Tomates entières pelées au jus;3.27;kg;AUCHAN BIO Pommes Golden;3.99;kg;Bananes Prix Bas;0.2;pce;INNOCENT Pur jus d'orange sans pulpe;2.79;l;AUCHAN BIO Citrons jaunes;0.45;pce;Raisins sans pépins;7.98;kg;Tomates cerises prix bas;3.96;kg;AUCHAN BIO CULTIVONS LE BON Carottes;1.99;kg;AUCHAN BIO Oignons;2.69;kg;Cœur de laitue prix bas;0.43;pce;Concombre;1.79;pce;Poivrons panachés;5.78;kg;Courgettes premier prix;1.79;kg;Aubergines;1.99;kg;LE GAULOIS Filet de poulet blanc;13.4;kg;AUCHAN Steaks hachés pur bœuf 15% mg;9.99;kg;HERTA Knacki saucisse pur porc;5.37;kg;Filet de petits merlus blancs;5.95;kg;AUCHAN Huile d'olive vierge extra origine Espagne;10.49;l;BARILLA Sauce pesto rosso au vinaigre balsamique de Modène en bocal;10.85;kg;HERBAMARE Sel marin bio aux plantes et légumes frais;15.78;kg;POUCE Poivre noir moulu;14.18;kg;DUCROS Basilic;150.91;kg;GRANOLA Biscuits sablés nappés de chocolat au lait;8.15;kg;LINDT Excellence tablette de chocolat noir dégustation intense 70%;22.5;kg;AUCHAN Papier toilette blanc ultra doux et moelleux 3 épaisseurs;0.38;pce;POUCE Sacs poubelle liens amovibles 30L;0.04;pce;MIR Liquide vaisselle secret de Japon fleur de lotus cerisier;3.04;l;L'ARBRE VERT Recharge Lessive liquide Peaux sensibles Hypoallergénique;4.93;l;SANYTOL Lingettes désinfectantes multi-usages eucalyptus;0.02;pce;AUCHAN Eponges grattantes multi-usages;0.37;pce;GARNIER ULTRA DOUX Shampooing nourrissant sans silicone aux huiles d'argan & camélia;10.25;l;DOP Gel douche crème au lait végétal des Pyrénées;7.55;l;SIGNAL Dentifrice protection caries fluor & calcium;11.73;l;COSMIA Recharge crème lavante mains coton;2.01;l;AUCHAN Boîte de mouchoirs doux et résistants 3 épaisseurs;0.01;pce;AUCHAN Film aluminium résistant 20m;0.13;m;AUCHAN Sacs de congelation avec zip3l;0.08;pce;AUCHAN BIO Bouillon aux légumes et aromates;22.75;kg
Petite Ville;01090;Auchan Drive Supermarché Montceaux Guereins;2;LACTEL Matin léger Lait facile à digérer sans lactose;1.83;l;AUCHAN Oeufs de poules élevées en plein air Label Rouge;0.31;pce;DANONE Yaourt nature;1.63;kg;AUCHAN Camembert;6.24;kg;MONTFLEURI Beurre doux allégé 60%MG;7.56;kg;LA BOULANGERE Pain tartines spécial campagne;5.27;kg;;;;KELLOGG'S Spécial K Céréales au chocolat au lait;8.42;kg;AUCHAN Farine de blé fluide T45 sans grumeaux;0.75;kg;DADDY Cassonade sucre pure canne en poudre;3.4;kg;AUCHAN Capsules de café Espresso classico intensité 8 compatibles Nespresso;48.08;kg;TWININGS Original earl grey thé aromatisé bergamote;53.0;kg;AUCHAN Confiture extra de fraises;3.69;kg;;;;AUCHAN Pur jus d'orange sans pulpe;1.95;l;AUCHAN Eau minérale pétillante;0.43;l;AUCHAN Riz basmati prêt en 11 min;2.84;kg;RUMMO Linguine n°13;4.34;kg;AUCHAN Pommes de terre de consommation blondes à chair ferme micro-ondable;2.0;kg;AUCHAN BIO Lentilles vertes;5.66;kg;AUCHAN Tomates entières pelées au jus;3.74;kg;CULTIVONS LE BON Pommes Golden;0.5;pce;Bananes bio;0.4;pce;MONTEBELO BRASIL Pur jus d'orange sans pulpe;2.59;l;PAGO Boisson à l'orange carotte citron vitamines ACE;2.19;l;;;;Tomates cerises mélangées;6.23;kg;AUCHAN Carottes;2.19;kg;Mélange légumes pour pot au feu : carotte, poireau, navet, oignon et bouquet garni;3.33;kg;Salade batavia;1.29;pce;AUCHAN BIO Concombre;1.99;pce;AUCHAN Trio de poivrons en lanières;3.65;kg;AUCHAN BIO Courgettes;5.32;kg;CASSEGRAIN Aubergines cuisinées à la provençale;9.28;kg;PRIX BAS Filets de poulet blanc;9.65;kg;AUCHAN Viande hachée pur bœuf 15% mg;11.44;kg;AUCHAN Knacks;3.83;kg;AUCHAN Filets de maquereaux au vin blanc et aromates;13.3;kg;AUCHAN BIO Huile d'olive vierge extra extraite à froid;13.72;l;MAILLE Velours de vinaigre balsamique de Modène;16.2;l;MARINA 25 bandelettes de test pour analyse eau piscine désinfection au sel - Marina;;;DUCROS Poivre noir en grains classique force 6;48.95;kg;;;;MC VITIES Biscuits sablés anglais nappés de chocolat au lait;6.97;kg;LINDT Excellence tablette de chocolat noir dégustation puissant 85%;22.5;kg;LOTUS Papier toilette blanc aquatube confort 2 épaisseurs;0.35;pce;HANDY BAG Sacs poubelles recyclés liens coulissants 50l ultra résistant;0.36;pce;AUCHAN Liquide vaisselle super dégraissant vinaigre de framboise;1.76;l;PERSAVON Lessive liquide bébé Hypoallergénique Peaux sensibles Abricot bio;4.7;l;AUCHAN BETTER LIFE Vinaigre ménager naturel;1.09;l;AUCHAN Eponges grattantes multi-usages;0.36;pce;DOP Shampooing 2en1 démêlant à l'amande douce tous types de cheveux;7.13;l;DOP Gel douche douceurs de nos régions amande;7.76;l;SIGNAL Dentifrice haleine pure;24.67;l;LE PETIT MARSEILLAIS Recharge gel lavant mains pur savon et huile d'olive;5.4;l;POUCE Boîte de mouchoirs 2 épaisseurs;0.0;pce;POUCE Papier aluminium 20m;0.07;m;ALFAPAC Sacs de congélation ZIP renforcé petit modèle;0.08;pce;MAGGI Bouillon Kub bio au boeuf;27.0;kg
Ville Moyenne;02100;Auchan Drive St-Quentin;1;AUCHAN SOLIDAIRES BIO CULTIVONS LE BON Lait demi-écrémé UHT;1.1;l;AUCHAN Oeufs de poules élevées en plein air;0.25;pce;AUCHAN BIO Yaourt au lait entier nature;1.72;kg;AUCHAN Camembert;6.24;kg;AUCHAN Beurre tendre doux;9.8;kg;BJORG Pain complet aux 3 céréales bio prétranché;4.86;kg;PAIN FRAIS Baguette multicéréales;5.0;kg;KELLOGG'S Spécial K Barres de céréales au chocolat au lait;19.25;kg;AUCHAN Farine de blé T45;0.69;kg;LA PERRUCHE Cassonade sucre roux en poudre pure canne;2.52;kg;AUCHAN Capsules de café lungo intensité 6 compatibles Nespresso;39.33;kg;TWININGS Original earl grey thé aromatisé bergamote;42.4;kg;BONNE MAMAN Confiture de fraises;4.75;kg;Paris Prix Lot de 20 Serviettes en Papier Miel 38x38cm Naturel;;;AUCHAN Pur jus d'orange sans pulpe;1.99;l;BADOIT Eau gazeuse minérale verte finement pétillante 6x1l;0.68;l;AUCHAN Riz basmati prêt en 11 min;2.74;kg;AUCHAN Spaghetti;1.48;kg;AUCHAN Pommes de terre de consommation frites purée potage;1.32;kg;AUCHAN Lentilles vertes;3.44;kg;AUCHAN Tomates entières pelées au jus;3.17;kg;AUCHAN BIO Pommes Golden;3.49;kg;Bananes Prix Bas;0.2;pce;INNOCENT Pur jus d'orange sans pulpe;2.39;l;Citrons jaunes;1.9;kg;Raisins sans pépins;5.98;kg;Tomates rondes en grappe;0.85;pce;Carottes zéro résidu de pesticides;2.39;kg;Oignons prix bas;1.15;kg;Cœur de laitue prix bas;0.43;pce;Concombre;0.79;pce;Poivrons panachés;5.78;kg;Courgettes premier prix;1.79;kg;Aubergine;0.75;pce;PRIX BAS Filets de poulet blanc;9.65;kg;PRIX BAS Hachés au boeuf;10.0;kg;HERTA Knacki saucisse pur porc;5.37;kg;AUCHAN Filet de merlu blanc façon meunière;14.42;kg;TERRA DELYSSA Huile d'olive vierge extra de Tunisie bio;14.07;l;BARILLA Sauce pesto rosso au vinaigre balsamique de Modène en bocal;9.75;kg;HERBAMARE Sel marin bio aux plantes et légumes frais;15.31;kg;AUCHAN Poivre noir moulu;25.53;kg;DUCROS Basilic;114.55;kg;GRANOLA Biscuits sablés nappés de chocolat au lait;6.77;kg;LINDT Excellence tablette de chocolat noir dégustation intense 70%;17.9;kg;AUCHAN Papier toilette blanc ultra doux et moelleux 3 épaisseurs;0.38;pce;POUCE Sacs poubelle liens amovibles 30L;0.04;pce;MIR Liquide vaisselle secret de Japon fleur de lotus cerisier;2.52;l;L'ARBRE VERT Recharge Lessive liquide Peaux sensibles Hypoallergénique;4.62;l;AUCHAN BETTER LIFE Vinaigre ménager naturel;1.09;l;AUCHAN Eponges grattantes multi-usages;0.37;pce;GARNIER ULTRA DOUX Shampooing nourrissant sans silicone aux huiles d'argan & camélia;9.72;l;DOP Gel douche crème au lait végétal des Pyrénées;6.69;l;SIGNAL Dentifrice protection caries fluor & calcium;11.73;l;COSMIA Recharge crème lavante mains coton;1.95;l;AUCHAN Boîte de mouchoirs doux et résistants 3 épaisseurs;0.01;pce;AUCHAN Film aluminium résistant 20m;0.13;m;AUCHAN Sacs de congélation avec zip 6l;0.12;pce;AUCHAN BIO Bouillon aux légumes et aromates;22.13;kg
Ville Moyenne;02100;Auchan Drive St-Quentin;2;LACTEL Matin léger Lait facile à digérer sans lactose;1.68;l;AUCHAN Oeufs de poules élevées en plein air;0.26;pce;DANONE Yaourt nature;1.63;kg;PRESIDENT Camembert au lait pasteurisé;7.4;kg;PRESIDENT Beurre gastronomique doux;11.04;kg;;;;;;;KELLOGG'S Spécial K Barres de céréales au chocolat noir;17.91;kg;AUCHAN Farine de blé fluide T45 sans grumeaux;0.75;kg;DADDY Cassonade sucre pure canne en poudre;2.6;kg;AUCHAN Capsules de café Espresso décaféiné intensité 6 compatibles Nespresso;47.12;kg;TWININGS Original English breakfast thé corsé et équilibré;57.75;kg;AUCHAN Confiture extra de fraises;3.58;kg;;;;AUCHAN Pur jus d'orange sans pulpe;1.95;l;AUCHAN Eau minérale naturelle gazeuse au citron;0.48;l;AUCHAN Riz basmati prêt en 11 min;2.84;kg;RUMMO Linguine n°13;4.18;kg;AUCHAN Pommes de terre de consommation à chair ferme salade vapeur sautées raclette;0.8;kg;AUCHAN BIO Lentilles vertes;5.5;kg;AUCHAN Tomates entières pelées au jus;3.74;kg;CULTIVONS LE BON Pommes Golden;0.45;pce;Bananes Antilles françaises;0.49;pce;Oranges à jus;1.83;kg;Citron jaune;0.59;pce;AUCHAN RIK & ROK Raisins roses sans pépins;7.38;kg;Tomates cerises prix bas;3.96;kg;AUCHAN BIO CULTIVONS LE BON Carottes;1.99;kg;Oignons sélection;2.29;kg;Salade batavia;1.29;pce;AUCHAN BIO Concombre;1.99;pce;Poivron rouge;1.12;pce;Courgette;0.65;pce;Aubergines;1.99;kg;LE GAULOIS Filet de poulet blanc;13.46;kg;AUCHAN Cheveux d'ange pur bœuf 5%MG;16.82;kg;AUCHAN Knacks;3.83;kg;AUCHAN LE POISSONNIER Filet de merlu blanc façon meunière;17.68;kg;AUCHAN Huile d'olive vierge extra origine Espagne;10.49;l;AUCHAN Vinaigre balsamique de Modène IGP 6% d'acidité;3.3;l;COSMIA Shampoing et douche 2en1 sel marin;5.16;l;AUCHAN Poivre noir en grains en moulin;41.71;kg;;;;MC VITIES Biscuits sablés anglais nappés de chocolat au lait;5.6;kg;LINDT Excellence tablette de chocolat noir dégustation puissant 85%;17.6;kg;FLOREX Papier toilette blanc 2 épaisseurs;0.21;pce;AUCHAN Sacs poubelle à liens amovibles 50L;0.19;pce;AUCHAN Liquide vaisselle super dégraissant vinaigre de framboise;1.76;l;PERSAVON Lessive liquide bébé Hypoallergénique Peaux sensibles Abricot bio;4.39;l;SANYTOL Lingettes désinfectantes multi-usages eucalyptus;0.02;pce;AUCHAN Eponges grattantes multi-usages;0.36;pce;COSMIA Shampoing et douche 2en1 monoï;4.96;l;DOP Douche crème à la vanille douce de polynésie;7.07;l;SIGNAL Dentifrice haleine pure;15.87;l;LE PETIT MARSEILLAIS Recharge gel lavant mains pur savon et huile d'olive;4.2;l;POUCE Boîte de mouchoirs 2 épaisseurs;0.0;pce;POUCE Papier aluminium 20m;0.07;m;AUCHAN Sacs de congelation avec zip3l;0.08;pce;;;
Petite Ville;02300;Auchan Drive Viry Noureuil;1;LACTEL Matin léger Lait facile à digérer sans lactose;1.69;l;AUCHAN Oeufs de poules élevées en plein air;0.02;pce;DANONE Yaourt nature;1.63;kg;PRESIDENT Camembert au lait pasteurisé;7.4;kg;PRESIDENT Beurre gastronomique doux;11.04;kg;BJORG Pain complet aux 3 céréales bio prétranché;5.04;kg;PAIN FRAIS Baguette multicéréales;5.0;kg;KELLOGG'S Spécial K Barres de céréales au chocolat au lait;20.42;kg;AUCHAN Farine de blé T45;0.69;kg;LA PERRUCHE Cassonade sucre roux en poudre pure canne;3.51;kg;STARBUCKS Capsules de café Blonde Expresso Roast décaféiné compatibles Nespresso;71.64;kg;TWININGS Original earl grey thé aromatisé bergamote;42.4;kg;BONNE MAMAN Confiture de fraises;4.66;kg;SAIRO Gel douche argan & miel aux huiles et extraits naturels;2.25;l;AUCHAN Pur jus d'orange sans pulpe;1.99;l;BADOIT Eau gazeuse minérale verte finement pétillante 6x1l;0.63;l;AUCHAN Riz basmati prêt en 11 min;2.74;kg;AUCHAN Spaghetti;1.48;kg;AUCHAN Pommes de terre de consommation à chair ferme salade vapeur sautées raclette;0.8;kg;AUCHAN Lentilles vertes;3.44;kg;AUCHAN Tomates entières pelées au jus;3.17;kg;AUCHAN BIO Pommes Golden;3.99;kg;Bananes Prix Bas;0.2;pce;INNOCENT Pur jus d'orange sans pulpe;2.6;l;Citrons jaunes;1.9;kg;Raisins sans pépins;6.98;kg;Tomates cerises prix bas;3.96;kg;Carottes zéro résidu de pesticides;2.65;kg;Oignons prix bas;1.15;kg;Cœur de laitue prix bas;0.43;pce;Concombre;0.99;pce;Poivrons panachés;5.78;kg;Courgettes premier prix;1.79;kg;Aubergines;1.99;kg;PRIX BAS Filets de poulet blanc;9.65;kg;PRIX BAS Hachés au boeuf;10.0;kg;HERTA Knacki saucisse pur porc;5.37;kg;AUCHAN LE POISSONNIER Filet de merlu blanc façon meunière;17.68;kg;AUCHAN Huile d'olive vierge extra origine Espagne;10.49;l;AUCHAN Vinaigre balsamique de Modène IGP 6% d'acidité;3.3;l;HERBAMARE Sel marin bio aux plantes et légumes frais;14.33;kg;AUCHAN Poivre noir moulu;25.53;kg;DUCROS Basilic;132.73;kg;GRANOLA Biscuits sablés nappés de chocolat au lait;7.37;kg;LINDT Excellence tablette de chocolat noir dégustation intense 70%;22.6;kg;AUCHAN Papier toilette blanc ultra doux et moelleux 3 épaisseurs;0.38;pce;POUCE Sacs poubelle liens amovibles 30L;0.04;pce;MIR Liquide vaisselle secret de Japon fleur de lotus cerisier;2.22;l;L'ARBRE VERT Recharge Lessive liquide Peaux sensibles Hypoallergénique;4.76;l;SANYTOL Lingettes désinfectantes multi-usages eucalyptus;0.02;pce;AUCHAN Eponges grattantes multi-usages;0.37;pce;GARNIER ULTRA DOUX Shampooing nourrissant sans silicone aux huiles d'argan & camélia;9.72;l;DOP Gel douche crème au lait végétal des Pyrénées;6.41;l;SIGNAL Dentifrice protection caries fluor & calcium;11.33;l;COSMIA Recharge crème lavante mains coton;1.95;l;AUCHAN Boîte de mouchoirs doux et résistants 3 épaisseurs;0.01;pce;AUCHAN Film aluminium résistant 20m;0.13;m;ALFAPAC Sacs de congélation ZIP renforcé petit modèle;0.08;pce;AUCHAN BIO Bouillon aux légumes et aromates;22.13;kg
Petite Ville;02300;Auchan Drive Viry Noureuil;2;POUCE Lait demi-écrémé UHT;0.94;l;AUCHAN SOLIDAIRES BIO CULTIVONS LE BON Œufs de poules élevées en plein air;0.36;pce;DANONE Yaourt nature;1.86;kg;AUCHAN Camembert;6.24;kg;MONTFLEURI Beurre doux allégé 60%MG;7.56;kg;LA BOULANGERE Pain de mie farine de seigle et graines avec croûte;4.16;kg;;;;KELLOGG'S Spécial K Barres de céréales au chocolat noir;18.99;kg;AUCHAN Farine de blé fluide T45 sans grumeaux;0.75;kg;DADDY Cassonade sucre pure canne en poudre;3.01;kg;NESCAFE Capsules de café Africas Ristretto Farmers Origins intensité 10 compatibles Nespresso;63.64;kg;TWININGS Original earl grey thé aromatisé bergamote;41.1;kg;AUCHAN Confiture extra de fraises;3.58;kg;Paris Prix Lot de 20 Serviettes en Papier Miel 38x38cm Naturel;;;AUCHAN Pur jus d'orange sans pulpe;1.95;l;AUCHAN Eau minérale naturelle gazeuse au citron;0.48;l;AUCHAN Riz basmati prêt en 11 min;2.84;kg;RUMMO Linguine n°13;4.22;kg;AUCHAN Pommes de terre rissolées;1.65;kg;AUCHAN TERROIR CULTIVONS LE BON lentilles vertes du Centre-Val de Loire;5.74;kg;AUCHAN Tomates entières pelées au jus;3.74;kg;CULTIVONS LE BON Pommes Golden;0.5;pce;Bananes bio;0.4;pce;Oranges à jus;2.0;kg;AUCHAN BIO Citrons jaunes;0.5;pce;AUCHAN RIK & ROK Raisins roses sans pépins;6.98;kg;Tomates cerises mélangées;6.23;kg;AUCHAN Carottes;1.79;kg;Oignons sélection;1.99;kg;Salade batavia;1.59;pce;AUCHAN BIO Concombre;1.49;pce;AUCHAN Trio de poivrons en lanières;3.65;kg;AUCHAN BIO Courgettes;3.32;kg;CASSEGRAIN Aubergines cuisinées à la provençale;8.77;kg;LE GAULOIS Filet de poulet blanc;14.01;kg;AUCHAN Steaks hachés pur bœuf 15% mg;9.99;kg;AUCHAN Knacks;3.83;kg;Filet de petits merlus blancs;5.95;kg;AUCHAN BIO Huile d'olive vierge extra extraite à froid;13.32;l;MAILLE Vinaigre balsamique de Modène IGP;6.58;l;LE MARIN Beurre breton aux cristaux de sel de guérande;11.42;kg;AUCHAN Poivre noir en grains en moulin;41.71;kg;DUCROS Basilic;63.1;kg;MC VITIES Biscuits sablés anglais nappés de chocolat au lait;6.97;kg;LINDT Excellence tablette de chocolat noir dégustation puissant 85%;22.6;kg;FLOREX Papier toilette blanc 2 épaisseurs;0.21;pce;AUCHAN Sacs poubelle à liens amovibles 50L;0.19;pce;AUCHAN Liquide vaisselle super dégraissant vinaigre de framboise;1.76;l;L'ARBRE VERT Recharge Lessive liquide Savon végétal Hypoallergénique;4.15;l;AUCHAN BETTER LIFE Vinaigre ménager naturel;1.09;l;AUCHAN Eponges grattantes multi-usages;0.36;pce;COSMIA Shampoing et douche 2en1 monoï;4.96;l;DOP Gel douche douceurs de nos régions amande;6.86;l;SIGNAL Dentifrice haleine pure;17.87;l;LE PETIT MARSEILLAIS Recharge gel lavant mains pur savon et huile d'olive;4.32;l;POUCE Boîte de mouchoirs 2 épaisseurs;0.0;pce;POUCE Papier aluminium 20m;0.07;m;ALFAPAC Sacs de congélation zip renforcé moyen modèle;2.67;pce;MAGGI Bouillon Kub bio au boeuf;25.75;kg
Petite Ville;02500;Auchan Drive Hirson;1;AUCHAN SOLIDAIRES BIO CULTIVONS LE BON Lait demi-écrémé UHT;1.1;l;AUCHAN BIO Oeufs de poules élevées en plein air;0.35;pce;DANONE Yaourt nature;1.63;kg;PRESIDENT Camembert au lait pasteurisé;7.4;kg;AUCHAN Beurre tendre doux;9.8;kg;LA BOULANGERE Pain de mie farine de seigle et graines avec croûte;4.52;kg;PAIN FRAIS Baguette multicéréales;5.0;kg;KELLOGG'S Spécial K Barres de céréales au chocolat noir;15.81;kg;AUCHAN Farine de blé T45;0.69;kg;AUCHAN BIO Sucre blond pure canne en poudre;3.48;kg;NESCAFE Capsules de café Africas Ristretto Farmers Origins intensité 10 compatibles Nespresso;53.41;kg;TWININGS Original earl grey thé aromatisé bergamote;37.3;kg;BONNE MAMAN Confiture de fraises;4.91;kg;SAIRO Gel douche argan & miel aux huiles et extraits naturels;2.25;l;AUCHAN Pur jus d'orange sans pulpe;1.99;l;BADOIT Eau gazeuse minérale verte finement pétillante 6x1l;0.63;l;AUCHAN Riz basmati prêt en 11 min;2.74;kg;AUCHAN Spaghetti;1.48;kg;AUCHAN Pommes de terre de consommation frites purée potage;1.4;kg;AUCHAN Lentilles vertes;3.44;kg;AUCHAN Tomates entières pelées au jus;3.23;kg;AUCHAN BIO Pommes Golden;4.39;kg;Bananes Prix Bas;0.2;pce;INNOCENT Pur jus d'orange sans pulpe;2.52;l;Citrons jaunes;1.9;kg;Raisins sans pépins;5.98;kg;Tomates cerises prix bas;3.96;kg;Carottes zéro résidu de pesticides;2.65;kg;Oignons prix bas;1.15;kg;Cœur de laitue prix bas;0.43;pce;Concombre;1.59;pce;Poivrons panachés;5.78;kg;Courgettes premier prix;1.79;kg;Aubergines;1.99;kg;PRIX BAS Filets de poulet blanc;9.65;kg;AUCHAN Cheveux d'ange pur bœuf 5%MG;16.82;kg;HERTA Knacki saucisse pur porc;5.37;kg;AUCHAN Filet de merlu blanc façon meunière;14.42;kg;AUCHAN Huile d'olive vierge extra origine Espagne;10.49;l;BARILLA Sauce pesto rosso au vinaigre balsamique de Modène en bocal;9.35;kg;HERBAMARE Sel marin bio aux plantes et légumes frais;15.56;kg;AUCHAN Poivre noir moulu;26.05;kg;DUCROS Basilic;106.36;kg;GRANOLA Biscuits sablés nappés de chocolat au lait;7.43;kg;LINDT Excellence tablette de chocolat noir dégustation intense 70%;17.9;kg;AUCHAN Papier toilette blanc ultra doux et moelleux 3 épaisseurs;0.38;pce;POUCE Sacs poubelle liens amovibles 30L;0.04;pce;MIR Liquide vaisselle secret de Japon fleur de lotus cerisier;2.4;l;L'ARBRE VERT Recharge Lessive liquide Savon végétal Hypoallergénique;4.22;l;SANYTOL Lingettes désinfectantes multi-usages eucalyptus;0.03;pce;AUCHAN Eponges grattantes multi-usages;0.37;pce;COSMIA Shampoing et douche 2en1 monoï;4.96;l;DOP Gel douche crème au lait végétal des Pyrénées;6.69;l;SIGNAL Dentifrice protection caries fluor & calcium;13.47;l;COSMIA Recharge crème lavante mains coton;1.99;l;AUCHAN Boîte de mouchoirs doux et résistants 3 épaisseurs;0.01;pce;AUCHAN Film aluminium résistant 20m;0.13;m;EMBAL'FROID Sacs de congélation et tous usages fermeture zip;1.71;pce;AUCHAN BIO Bouillon aux légumes et aromates;22.63;kg
