success,url,postal_code_used,selected_store,price_per_unit,product_name_debug,error
True,https://www.auchan.fr/fleury-michon-jambon-le-torchon-reduit-en-sel/pr-C1215581,75001,My Auchan Click&collect Paris Pierre Nicole,"30,08€ / kg",Jambon Le Torchon réduit en sel,
True,https://www.auchan.fr/nutella-pate-a-tartiner-aux-noisettes/pr-C1264220,75001,My Auchan Click&collect Paris Pierre Nicole,"7,19€ / kg",Pâte à tartiner aux noisettes,
