Unité urbaine 2020;Libellé géographique de l'unité urbaine 2020;Tranche d'unité urbaine 2020 calculée sur la population 2017;Tranche détaillée d'unité urbaine 2020 calculée sur la population 2017;Type d'unité urbaine;Nombre communes
UU2020;LIBUU2020;TUU2017;TDUU2017;TYPE_UU2020;NB_COM
08101;Donchery;1;11;1;1
08102;Monthermé;1;11;1;1
08103;Rocroi;1;12;2;2
08104;Vireux-Wallerand;1;13;2;2
08105;Carignan;1;14;2;3
08106;Vouziers;1;14;1;1
08201;Nouvion-sur-Meuse;2;21;2;3
08202;Fumay;2;21;2;2
08203;Bogny-sur-Meuse;2;21;2;2
08204;Revin;2;21;1;1
08205;Vrigne aux Bois;2;21;2;2
08206;Nouzonville;2;21;2;2
08207;Givet;2;22;2;3
08208;Rethel;2;22;2;3
08401;Sedan;4;42;2;7
08501;Charleville-Mézières;5;51;2;8
09000;Communes hors unité urbaine du département 09;0;00;0;286
09101;Laroque-d'Olmes;1;11;1;1
09102;Montgailhard;1;12;2;2
09103;Mirepoix;1;13;1;1
09104;La Tour-du-Crieu;1;13;1;1
09105;Mazères;1;13;1;1
09106;Saverdun;1;14;1;1
09201;Tarascon-sur-Ariège;2;21;2;9
09202;Lavelanet;2;22;2;4
09203;Saint-Girons;2;22;2;4
09301;Foix;3;31;2;5
09401;Pamiers;4;42;2;10
10000;Communes hors unité urbaine du département 10;0;00;0;394
10101;Marigny-le-Châtel;1;11;2;2
10102;Lusigny-sur-Barse;1;11;1;1
10103;Vendeuvre-sur-Barse;1;11;1;1
10104;Villenauxe-la-Grande;1;12;1;1
10105;Saint-Lyé;1;12;1;1
10106;Bar-sur-Seine;1;13;1;1
10107;Brienne-le-Château;1;13;2;2
10108;Arcis-sur-Aube;1;13;2;2
10109;Aix-Villemaur-Pâlis;1;13;2;2
10201;Bar-sur-Aube;2;21;2;2
10202;Nogent-sur-Seine;2;21;1;1
10301;Romilly-sur-Seine;3;32;2;3
10601;Troyes;6;61;2;18
11000;Communes hors unité urbaine du département 11;0;00;0;388
11101;Argeliers;1;11;1;1
11102;Canet;1;11;2;2
11103;Palaja;1;11;1;1
11104;Ouveillan;1;11;1;1
11105;Pennautier;1;12;1;1
11106;Vinassan;1;12;1;1
11107;Sallèles-d'Aude;1;12;1;1
11108;Rieux-Minervois;1;13;2;2
11109;Bram;1;13;1;1
11110;Conques-sur-Orbiel;1;13;2;2
11111;Quillan;1;13;2;2
11112;Cuxac-d'Aude;1;14;1;1
11113;Saint-Nazaire-d'Aude;1;14;2;2
11114;Espéraza;1;14;2;5
11201;Gruissan;2;21;1;1
11202;Sigean;2;21;1;1
11203;Port-la-Nouvelle;2;21;1;1
11204;Trèbes;2;21;1;1
11205;Coursan;2;21;1;1
11206;Villemoustaussou;2;21;2;2
11207;Fleury;2;22;2;2
11301;Lézignan-Corbières;3;31;1;1
11302;Limoux;3;31;2;5
11303;Castelnaudary;3;31;2;2
11401;Carcassonne;4;44;2;2
11501;Narbonne;5;51;1;1
12000;Communes hors unité urbaine du département 12;0;00;0;260
12101;Laissac-Sévérac l'Église;1;11;1;1
12102;Valady;1;12;2;2
12103;Baraqueville;1;13;1;1
12104;Sébazac-Concourès;1;13;1;1
12105;Sévérac d'Aveyron;1;14;1;1
12106;Capdenac-Gare;1;14;1;1
12201;Espalion;2;21;2;2
12202;Saint-Affrique;2;22;2;2
12301;Villefranche-de-Rouergue;3;31;2;2
12302;Decazeville;3;31;2;5
12401;Millau;4;41;2;2
12402;Rodez;4;44;2;5
13000;Communes hors unité urbaine du département 13;0;00;0;13
13101;Saintes-Maries-de-la-Mer;1;11;1;1
13102;Orgon;1;12;1;1
13103;Mouriès;1;13;1;1
13104;Fontvieille;1;13;1;1
13105;Coudoux;1;13;1;1
13106;Meyrargues;1;13;1;1
13107;Maussane-les-Alpilles;1;14;2;2
13108;Rognes;1;14;1;1
13201;Cuges-les-Pins;2;21;1;1
13202;Le Rove;2;21;1;1
13203;La Roque-d'Anthéron;2;21;1;1
13204;Ensuès-la-Redonne;2;21;1;1
13205;Saint-Cannat;2;21;1;1
13206;Le Puy-Sainte-Réparade;2;21;1;1
13207;Carnoux-en-Provence;2;21;1;1
13208;Sénas;2;21;1;1
13209;Eyguières;2;22;1;1
13210;Port-Saint-Louis-du-Rhône;2;22;1;1
13211;La Fare-les-Oliviers;2;22;1;1
13212;Lançon-Provence;2;22;1;1
13213;Peyrolles-en-Provence;2;22;2;2
13214;Lambesc;2;22;1;1
13301;Cassis;3;31;2;2
13302;Saint-Rémy-de-Provence;3;31;2;3
13303;Mallemort;3;31;2;4
13304;Saint-Martin-de-Crau;3;31;1;1
13305;Sausset-les-Pins-Carry-le-Rouet;3;31;2;2
13501;Salon-de-Provence;5;51;2;4
14000;Communes hors unité urbaine du département 14;0;00;0;400
14101;Potigny;1;11;1;1
14102;Mathieu;1;11;1;1
14103;Cairon;1;12;2;2
14104;Dozulé;1;12;2;3
14105;Louvigny;1;12;1;1
14106;Orbec;1;13;2;2
14107;Le Molay-Littry;1;13;2;2
14108;Évrecy;1;13;2;2
14109;Colleville-Montgomery;1;13;2;2
14110;Thury-Harcourt-le-Hom;1;13;1;1
14111;Villers-Bocage;1;13;2;2
14112;Troarn;1;13;2;2
14113;Frénouville;1;13;2;2
14114;Ranville;1;13;2;3
14115;Courseulles-sur-Mer;1;14;1;1
14116;Les Monts d'Aunay;1;14;1;1
14201;Douvres-la-Délivrande-Luc-sur-Mer;2;21;1;1
14202;Pont-l'Évêque;2;21;2;2
14203;Hermanville-sur-Mer;2;21;2;2
14204;Thue et Mue;2;21;1;1
14205;Livarot-Pays-d'Auge;2;21;1;1
14206;Saint-Martin-de-May;2;21;2;2
14207;Saint-Pierre-en-Auge;2;22;1;1
14208;Blainville-sur-Orne;2;22;2;2
14209;Falaise;2;22;1;1
14210;Argences;2;22;2;4
14211;Ouistreham;2;22;1;1
14212;Luc-sur-Mer;2;22;2;4
14213;Mézidon Vallée d'Auge;2;22;1;1
14301;Vire Normandie;3;32;1;1
14302;Bayeux;3;32;2;6
14401;Lisieux;4;43;2;11
14402;Dives-sur-Mer;4;43;2;24
14701;Caen;7;71;2;24
15000;Communes hors unité urbaine du département 15;0;00;0;240
15101;Riom-ès-Montagnes;1;12;1;1
15102;Ydes;1;12;2;2
15103;Maurs;1;12;2;2
15104;Mauriac;1;13;1;1
15201;Saint-Flour;2;21;1;1
15401;Aurillac;4;43;2;3
16000;Communes hors unité urbaine du département 16;0;00;0;324
16101;Mansle-les-Fontaines;1;12;2;2
16102;Confolens;1;12;1;1
16103;Chasseneuil-sur-Bonnieure;1;13;1;1
16104;Châteauneuf-sur-Charente;1;13;1;1
16105;Ruffec;1;13;2;2
16106;La Rochefoucauld-en-Angoumois;1;13;1;1
16107;Barbezieux-Saint-Hilaire;1;14;1;1
16108;Jarnac;1;14;2;2
16401;Cognac;4;42;2;6
16601;Angoulême;6;61;2;18
17000;Communes hors unité urbaine du département 17;0;00;0;381
17101;Saint-Denis-d'Oléron;1;11;2;2
17102;Esnandes;1;11;1;1
17103;Saint-Laurent-de-la-Prée;1;11;1;1
17104;Matha;1;11;1;1
17105;Saint-Rogatien;1;11;1;1
17106;Villedoux;1;11;1;1
17107;Le Bois-Plage-en-Ré;1;11;1;1
17108;Rivedoux-Plage;1;11;1;1
17109;Saint-Trojan-les-Bains;1;11;2;2
17110;La Jarne;1;11;1;1
17111;Saint-Agnant;1;12;1;1
17112;Médis;1;12;1;1
17113;Breuillet;1;12;1;1
17114;Port-des-Barques;1;12;2;2
17115;Soubise;1;12;1;1
17116;Marsilly;1;13;1;1
17117;Dolus-d'Oléron;1;13;1;1
17118;La Jarrie;1;13;1;1
17119;Sainte-Marie-de-Ré;1;13;1;1
17120;Montendre;1;13;2;2
17121;Saint-Georges-d'Oléron;1;13;1;1
17122;Fouras;1;14;1;1
17123;Aigrefeuille-d'Aunis;1;14;1;1
17124;Pons;1;14;1;1
17125;Le Château-d'Oléron;1;14;1;1
17126;Ars-en-Ré;1;14;2;5
17127;Marans;1;14;1;1
17128;Sainte-Soulle;1;14;1;1
17129;Saint-Xandre;1;14;1;1
17130;La Flotte;1;14;2;2
17201;Jonzac;2;21;2;3
17202;Saint-Pierre-d'Oléron;2;21;1;1
17203;Surgères;2;21;1;1
17204;Saujon;2;22;1;1
17205;Saint-Jean-d'Angély;2;22;2;3
17206;Marennes-Hiers-Brouage;2;22;2;2
17301;La Tremblade;3;31;2;4
17401;Saintes;4;43;2;4
17402;Rochefort;4;43;2;5
17403;Royan;4;43;2;7
17601;La Rochelle;6;61;2;11
18000;Communes hors unité urbaine du département 18;0;00;0;260
18101;Sancerre;1;12;2;2
18102;Léré;1;12;2;3
18103;Sancoins;1;13;1;1
18104;La Guerche-sur-l'Aubois;1;13;1;1
18105;Avord;1;13;2;2
18106;Dun-sur-Auron;1;13;1;1
18107;Trouy;1;13;1;1
18201;Aubigny-sur-Nère;2;21;1;1
18202;Saint-Florent-sur-Cher;2;21;1;1
18203;Mehun-sur-Yèvre;2;21;1;1
18301;Saint-Amand-Montrond;3;31;2;3
18401;Vierzon;4;42;2;3
18501;Bourges;5;52;2;6
19000;Communes hors unité urbaine du département 19;0;00;0;247
19101;Donzenac;1;12;1;1
19102;Bort-les-Orgues;1;12;1;1
19103;Uzerche;1;12;1;1
19104;Argentat-sur-Dordogne;1;13;1;1
19105;Égletons;1;14;1;1
19106;Objat;1;14;2;3
19201;Allassac;2;21;2;2
19202;Ussel;2;22;1;1
19401;Tulle;4;41;2;6
21000;Communes hors unité urbaine du département 21;0;00;0;652
21101;Brazey-en-Plaine;1;11;1;1
21102;Selongey;1;11;1;1
21103;Saulieu;1;11;1;1
21104;Arc-sur-Tille;1;12;1;1
21105;Seurre;1;12;2;3
21106;Saint-Jean-de-Losne;1;13;2;3
21107;Venarey-les-Laumes;1;13;2;2
21108;Semur-en-Auxois;1;14;1;1
21109;Saint-Julien;1;14;2;4
21110;Gevrey-Chambertin;1;14;2;3
21201;Genlis;2;21;1;1
21202;Châtillon-sur-Seine;2;21;1;1
21203;Montbard;2;21;2;2
21204;Nuits-Saint-Georges;2;21;2;2
21205;Is-sur-Tille;2;21;2;2
21206;Auxonne;2;22;1;1
21401;Beaune;4;41;1;1
21701;Dijon;7;71;2;15
22000;Communes hors unité urbaine du département 22;0;00;0;256
22101;Quintin;1;12;1;1
22102;Broons;1;12;1;1
22103;Merdrignac;1;13;1;1
22104;Rostrenen;1;13;1;1
22105;Plouézec;1;13;1;1
22106;Saint-Cast-le-Guildo;1;13;1;1
22107;Plouaret;1;13;2;2
22108;Plouër-sur-Rance;1;13;1;1
22109;Trébeurden;1;13;1;1
22110;Plémet;1;13;1;1
22111;Lanvollon;1;13;2;3
22112;La Roche-Jaudy;1;13;2;2
22113;Pommeret;1;13;2;2
22114;Châtelaudren-Plouagat;1;13;1;1
22115;Erquy;1;13;1;1
22116;Plœuc-L'Hermitage;1;14;1;1
22117;Pléneuf-Val-André;1;14;1;1
22118;Plouha;1;14;1;1
22119;Bégard;1;14;1;1
22201;Plancoët;2;21;2;2
22202;Plaintel;2;21;2;2
22203;Tréguier;2;21;2;4
22204;Plédran;2;21;1;1
22205;Pordic;2;22;1;1
22206;Loudéac;2;22;1;1
22301;Binic-Étables-sur-Mer;3;31;2;4
22302;Lamballe-Armor;3;32;2;2
22303;Paimpol;3;32;2;8
22401;Guingamp;4;41;2;6
22402;Dinan;4;42;2;7
22403;Lannion;4;44;2;11
22501;Saint-Brieuc;5;52;2;9
23000;Communes hors unité urbaine du département 23;0;00;0;250
23101;Bourganeuf;1;12;1;1
23102;Aubusson;1;13;1;1
23201;La Souterraine;2;21;1;1
23301;Guéret;3;31;2;2
24000;Communes hors unité urbaine du département 24;0;00;0;435
24101;Excideuil;1;11;2;4
24102;Montcaret;1;12;2;2
24103;Le Bugue;1;12;1;1
24104;Eymet;1;12;1;1
24105;Montignac-Lascaux;1;12;1;1
24106;Le Lardin-Saint-Lazare;1;13;2;3
24107;Neuvic;1;13;1;1
24108;Razac-sur-l'Isle;1;13;2;2
