Unité urbaine 2020;Libellé géographique de l'unité urbaine 2020;Tranche d'unité urbaine 2020 calculée sur la population 2017;Tranche détaillée d'unité urbaine 2020 calculée sur la population 2017;Type d'unité urbaine;Nombre communes
UU2020;LIBUU2020;TUU2017;TDUU2017;TYPE_UU2020;NB_COM
30121;Langlade;1;14;2;3
30201;Saint-Laurent-des-Arbres;2;21;2;2
30202;Roquemaure;2;21;1;1
30203;Aimargues;2;21;1;1
30204;Calvisson;2;21;1;1
30205;Bezouce;2;21;2;3
30206;Pujaut;2;21;2;2
30207;Bouillargues;2;21;1;1
30208;Le Vigan;2;22;2;6
30209;Bellegarde;2;22;1;1
30210;Rochefort-du-Gard;2;22;1;1
30211;Sommières;2;22;2;3
30212;Aigues-Mortes;2;22;1;1
30213;Vergèze;2;22;2;3
30214;La Grand-Combe;2;22;2;4
30301;Manduel;3;31;2;2
30302;Vauvert;3;31;1;1
30303;Uzès;3;31;2;4
30304;Montfrin;3;31;2;6
30305;Saint-Gilles;3;31;1;1
30306;Pont-Saint-Esprit;3;31;2;4
30401;Bagnols-sur-Cèze;4;42;2;5
30501;Alès;5;52;2;22
30601;Nîmes;6;62;2;9
31000;Communes hors unité urbaine du département 31;0;00;0;440
31101;Le Fauga;1;11;1;1
31102;Lévignac;1;11;1;1
31103;Boussens;1;11;2;3
31104;Saint-Sulpice-sur-Lèze;1;11;1;1
31105;Montgiscard;1;11;1;1
31106;Caraman;1;12;1;1
31107;Labastidette;1;12;1;1
31108;Rieux;1;12;1;1
31109;Martres-Tolosane;1;12;2;2
31110;Ayguesvives;1;12;1;1
31111;Salies-du-Salat;1;12;2;2
31112;Buzet-sur-Tarn;1;12;1;1
31113;Bérat;1;13;1;1
31114;Montesquieu-Volvestre;1;13;1;1
31115;Lavernose-Lacasse;1;13;1;1
31116;Lauzerville;1;13;2;2
31117;Baziège;1;13;1;1
31118;Rieumes;1;13;1;1
31119;Verfeil;1;13;1;1
31120;Lherm;1;13;1;1
31121;Nailloux;1;13;1;1
31122;Bagnères-de-Luchon;1;13;2;6
31123;Bessières;1;14;1;1
31201;Villefranche-de-Lauragais;2;21;2;2
31202;Montastruc-la-Conseillère;2;21;2;2
31203;Merville;2;21;1;1
31204;Villemur-sur-Tarn;2;21;1;1
31205;Fronton;2;21;1;1
31206;Cazères;2;21;2;3
31207;Longages;2;21;2;3
31208;Carbonne;2;21;2;2
31209;Grenade;2;22;1;1
31210;Venerque;2;22;2;4
31211;Saint-Lys;2;22;1;1
31212;Revel;2;22;1;1
31213;Auterive;2;22;1;1
31301;Saint-Gaudens;3;32;2;7
32000;Communes hors unité urbaine du département 32;0;00;0;443
32101;Samatan;1;11;1;1
32102;Gimont;1;13;1;1
32103;Lectoure;1;13;1;1
32104;Vic-Fezensac;1;13;2;2
32105;Eauze;1;13;1;1
32106;Mirande;1;13;2;2
32201;Fleurance;2;21;1;1
32202;Condom;2;21;1;1
32203;L'Isle-Jourdain;2;22;1;1
32401;Auch;4;42;2;3
33000;Communes hors unité urbaine du département 33;0;00;0;321
33101;Cérons;1;11;1;1
33102;Preignac;1;11;1;1
33103;Saint-Louis-de-Montferrand;1;11;1;1
33104;Cussac-Fort-Médoc;1;11;1;1
33105;Branne;1;11;2;3
33106;Saint-Vivien-de-Médoc;1;12;2;2
33107;Sainte-Hélène;1;12;1;1
33108;Baron;1;12;2;3
33109;Soulac-sur-Mer;1;12;1;1
33110;Avensan;1;12;1;1
33111;Saint-Ciers-sur-Gironde;1;13;1;1
33112;Galgon;1;13;1;1
33113;Saucats;1;13;1;1
33114;Ambès;1;13;1;1
33115;Le Porge;1;13;1;1
33116;Hourtin;1;13;1;1
33117;Arsac;1;13;1;1
33118;Macau;1;14;1;1
33119;La Brède;1;14;1;1
33120;Soussans;1;14;2;2
33121;Saint-Laurent-Médoc;1;14;1;1
33122;Créon;1;14;1;1
33123;Marcheprime;1;14;1;1
33124;Ludon-Médoc;1;14;1;1
33125;Castelnau-de-Médoc;1;14;1;1
33126;Pauillac;1;14;1;1
33127;Lacanau;1;14;1;1
33201;Bazas;2;21;2;2
33202;Cadillac-sur-Garonne;2;21;2;4
33203;Bourg;2;21;2;7
33204;Le Barp;2;21;1;1
33205;Belin-Béliet;2;21;1;1
33206;Podensac;2;21;2;3
33207;Saint-Savin-Saint-Yzan-de-Soudiac;2;21;2;2
33208;Saint-Seurin-sur-l'Isle;2;21;2;3
33209;La Lande-de-Fronsac;2;21;2;6
33210;Arès;2;21;1;1
33211;La Réole;2;21;2;5
33212;Salles;2;22;1;1
33213;Lesparre-Médoc;2;22;2;2
33214;Lège-Cap-Ferret;2;22;1;1
33215;Portets;2;22;2;5
33216;Saint-Macaire;2;22;2;8
33217;Mios;2;22;1;1
33301;Cézac;3;31;2;6
33302;Blaye;3;31;2;9
33303;Coutras;3;31;2;3
33304;Langon;3;31;2;6
33305;Andernos-les-Bains;3;32;2;2
33306;Biganos;3;32;2;2
33401;Libourne;4;43;2;10
33501;La Teste-de-Buch-Arcachon;5;51;2;4
33701;Bordeaux;7;73;2;73
34000;Communes hors unité urbaine du département 34;0;00;0;200
34101;Les Matelles;1;11;1;1
34102;Le Pouget;1;11;1;1
34103;Valergues;1;11;1;1
34104;Maureilhan;1;11;1;1
34105;Bassan;1;11;1;1
34106;Roujan;1;11;1;1
34107;Loupian;1;11;1;1
34108;Saint-Bauzille-de-Putois;1;11;2;2
34109;Saint-Pargoire;1;11;1;1
34110;Cessenon-sur-Orb;1;11;1;1
34111;Pomérols;1;11;1;1
34112;Olargues;1;11;2;6
34113;Colombiers;1;11;1;1
34114;Saint-Drézéry;1;12;1;1
34115;Vailhauquès;1;12;1;1
34116;Caux;1;12;1;1
34117;Cers;1;12;1;1
34118;Mudaison;1;12;1;1
34119;Saint-Martin-de-Londres;1;12;1;1
34120;Montblanc;1;12;1;1
34121;Puisserguier;1;12;1;1
34122;Aniane;1;12;1;1
34123;Thézan-lès-Béziers;1;12;1;1
34124;Murviel-lès-Béziers;1;13;1;1
34125;Lansargues;1;13;1;1
34126;Portiragnes;1;13;1;1
34127;Capestang;1;13;1;1
34128;Lespignan;1;13;1;1
34129;Saint-Aunès;1;13;1;1
34130;Canet;1;13;1;1
34131;Montarnaud;1;13;1;1
34132;Villeveyrac;1;13;1;1
34133;Beaulieu;1;13;2;2
34134;Montady;1;13;1;1
34135;Paulhan;1;13;1;1
34136;Nissan-lez-Enserune;1;13;1;1
34137;Montagnac;1;14;1;1
34138;Sussargues;1;14;2;2
34139;Magalas;1;14;2;2
34140;Saint-Mathieu-de-Tréviers;1;14;1;1
34141;Servian;1;14;1;1
34142;Cazouls-lès-Béziers;1;14;1;1
34201;Florensac;2;21;1;1
34202;Saint-Georges-d'Orques;2;21;1;1
34203;Vias;2;21;1;1
34204;Saint-André-de-Sangonis;2;21;1;1
34205;Palavas-les-Flots;2;21;1;1
34206;Castries;2;21;1;1
34207;Gignac;2;21;1;1
34208;Mireval;2;21;2;2
34209;Pignan;2;22;1;1
34210;Bessan;2;22;2;2
34211;Marseillan;2;22;1;1
34212;Ganges;2;22;2;4
34213;Pézenas;2;22;1;1
34214;Cournonterral;2;22;2;2
34215;Lodève;2;22;2;8
34301;Clermont-l'Hérault;3;31;2;3
34302;Baillargues;3;31;2;2
34303;Mèze;3;31;1;1
34304;Bédarieux;3;31;2;9
34305;Sérignan;3;32;2;3
34306;Mauguio;3;32;1;1
34401;Agde;4;42;1;1
34501;Sète;5;52;2;7
34502;Béziers;5;52;2;5
34701;Montpellier;7;72;2;22
35000;Communes hors unité urbaine du département 35;0;00;0;238
35101;Chevaigné;1;11;1;1
35102;Montreuil-sur-Ille;1;11;1;1
35103;La Fresnais;1;12;1;1
35104;Saint-Jouan-des-Guérets;1;12;1;1
35105;Plerguer;1;12;1;1
35106;Crevin;1;12;1;1
35107;Saint-Erblon;1;13;1;1
35108;Nouvoitou;1;13;1;1
35109;Bourg-des-Comptes;1;13;1;1
35110;Corps-Nuds;1;13;1;1
35111;Louvigné-du-Désert;1;13;1;1
35112;Breteil;1;13;1;1
35113;Tinténiac;1;13;1;1
35114;Servon-sur-Vilaine;1;13;1;1
35115;Pipriac;1;13;1;1
35116;Saint-Aubin-d'Aubigné;1;13;1;1
35117;Saint-Aubin-du-Cormier;1;13;1;1
35118;Romillé;1;13;1;1
35119;Romagné;1;13;2;2
35120;Miniac-Morvan;1;13;1;1
35121;Plélan-le-Grand;1;13;1;1
35122;Chavagne;1;14;1;1
35123;Saint-Méloir-des-Ondes;1;14;1;1
35124;Bourgbarré;1;14;1;1
35125;Goven;1;14;1;1
35126;Argentré-du-Plessis;1;14;1;1
35127;La Bouëxière;1;14;1;1
35128;Iffendic;1;14;1;1
35129;Orgères;1;14;1;1
35130;Maen Roch;1;14;1;1
35131;La Mézière;1;14;1;1
35132;Saint-Gilles;1;14;1;1
35201;Laillé;2;21;1;1
35202;Cancale;2;21;1;1
35203;Gévezé;2;21;1;1
35204;La Guerche-de-Bretagne;2;21;2;2
35205;Dol-de-Bretagne;2;21;1;1
35206;Saint-Méen-le-Grand;2;21;2;2
35207;Montauban-de-Bretagne;2;21;1;1
35208;Combourg;2;21;1;1
35209;Noyal-sur-Vilaine;2;21;1;1
35210;Retiers;2;21;2;2
35211;Bréal-sous-Montfort;2;21;1;1
35212;Montfort-sur-Meu;2;21;1;1
35213;Acigné;2;21;1;1
35214;Guipry-Messac;2;21;1;1
35215;Bain-de-Bretagne;2;22;1;1
35216;Mordelles;2;22;1;1
35217;Liffré;2;22;1;1
35218;Bédée;2;22;2;2
35219;Vern-sur-Seiche;2;22;1;1
35220;Janzé;2;22;1;1
35221;Guichen;2;22;1;1
35222;Châteaubourg;2;22;2;2
35301;Châteaugiron;3;31;2;2
35302;Le Rheu;3;32;2;3
35303;Vitré;3;32;1;1
35401;Fougères;4;42;2;4
35402;Saint-Malo;4;44;1;1
35701;Rennes;7;72;2;16
36000;Communes hors unité urbaine du département 36;0;00;0;216
36101;Valençay;1;11;1;1
36102;Châtillon-sur-Indre;1;12;1;1
36103;Vatan;1;12;2;3
36104;Villedieu-sur-Indre;1;12;1;1
36105;Saint-Gaultier;1;12;2;2
36106;Chabris;1;12;1;1
36107;Levroux;1;12;1;1
36108;Ardentes;1;13;1;1
36109;Buzançais;1;14;1;1
36201;Le Blanc;2;21;1;1
36202;La Châtre;2;22;2;4
36203;Argenton-sur-Creuse;2;22;2;3
36301;Issoudun;3;31;1;1
36501;Châteauroux;5;51;2;4
37000;Communes hors unité urbaine du département 37;0;00;0;196
37101;Richelieu;1;11;2;2
37102;Saint-Paterne-Racan;1;12;2;2
37103;Chanceaux-sur-Choisille;1;13;1;1
37104;Truyes;1;14;2;2
37105;Sainte-Maure-de-Touraine;1;14;1;1
37106;Monnaie;1;14;1;1
37107;Beaumont-en-Véron;1;14;2;2
37108;Langeais;1;14;1;1
37201;Cinq-Mars-la-Pile;2;21;2;2
37202;Azay-le-Rideau;2;21;2;2
37203;Esvres;2;21;1;1
37204;Bourgueil;2;21;2;3
37205;Château-Renault;2;22;2;2
37206;Véretz;2;22;2;2
37301;Chinon;3;31;2;3
37302;Loches;3;31;2;4
37303;Monts;3;31;2;4
37701;Tours;7;72;2;38
38000;Communes hors unité urbaine du département 38;0;00;0;312
38101;Frontonas;1;11;1;1
38102;Izeaux;1;11;1;1
38103;Saint-Paul-de-Varces;1;11;1;1
38104;Faramans;1;11;2;3
38105;Saint-Georges-de-Commiers;1;11;1;1
38106;Goncelin;1;11;1;1
38107;Auberives-sur-Varèze;1;12;2;2
38108;Le Cheylas;1;12;1;1
38109;Lans-en-Vercors;1;12;1;1
38110;Diémoz;1;12;1;1
38111;Saint-Siméon-de-Bressieux;1;12;1;1
38112;Theys;1;12;2;2
38113;Chapareillan;1;13;1;1
38114;Sonnay;1;13;2;3
38115;Le Bourg-d'Oisans;1;13;1;1
38116;Saint-Romain-de-Jalionas;1;13;1;1
38117;Saint-Georges-d'Espéranche;1;13;1;1
38118;Estrablin;1;13;1;1
38119;Saint-André-le-Gaz;1;13;2;2
38120;Saint-Étienne-de-Saint-Geoirs;1;13;2;2
38121;Brié-et-Angonnes;1;13;2;2
38122;Saint-Savin;1;14;1;1
38123;Villard-de-Lans;1;14;1;1
38124;Saint-Laurent-du-Pont;1;14;1;1
38125;Saint-Jean-de-Bournay;1;14;1;1
38126;La Terrasse;1;14;2;2
38127;Heyrieux;1;14;1;1
38128;Villette-d'Anthon;1;14;1;1
38201;Crémieu;2;21;2;2
38202;Montalieu-Vercieu;2;21;2;2
38203;Le Touvet;2;21;2;3
38204;Saint-Just-Chaleyssin;2;21;2;2
38205;La Côte-Saint-André;2;21;2;2
38206;Beaurepaire;2;21;2;2
38207;La Mure;2;21;2;3
38208;Les Avenières Veyrins-Thuellin;2;22;1;1
38209;Tullins;2;22;2;2
38301;Apprieu-Le Grand-Lemps;3;31;2;5
38302;Vif;3;31;2;2
38303;Les Abrets en Dauphiné;3;31;2;4
38304;Crolles;3;31;2;2
38401;Vizille;4;41;2;7
38402;Saint-Marcellin;4;41;2;8
38403;Charvieu-Chavagneux;4;42;2;4
38404;Villefontaine;4;43;2;6
38405;La Tour-du-Pin;4;43;2;15
38501;Bourgoin-Jallieu;5;51;2;9
38502;Voiron;5;51;2;15
38701;Grenoble;7;72;2;38
39000;Communes hors unité urbaine du département 39;0;00;0;446
39101;Moirans-en-Montagne;1;11;1;1
39102;Chaussin;1;11;2;2
39103;Fraisans;1;11;2;2
39104;Salins-les-Bains;1;12;2;2
39105;Saint-Amour;1;13;2;3
39106;Les Rousses;1;13;1;1
39107;Arbois;1;13;2;2
39108;Poligny;1;14;1;1
39109;Coteaux du Lizon;1;14;2;2
39201;Tavaux;2;22;2;3
39202;Hauts de Bienne;2;22;2;2
39203;Saint-Claude;2;22;2;2
39204;Champagnole;2;22;2;4
39401;Lons-le-Saunier;4;42;2;11
39402;Dole;4;43;2;8
40000;Communes hors unité urbaine du département 40;0;00;0;266
40101;Angresse;1;11;1;1
40102;Ychoux;1;11;1;1
40103;Villeneuve-de-Marsan;1;11;1;1
40104;Saint-Jean-de-Marsacq;1;11;2;2
40105;Saint-Geours-de-Maremne;1;12;1;1
40106;Labouheyre;1;12;1;1
40107;Pontonx-sur-l'Adour;1;12;1;1
40108;Rion-des-Landes;1;12;1;1
40109;Roquefort;1;13;2;2
40110;Grenade-sur-l'Adour;1;13;2;2
40111;Bénesse-Maremne;1;13;1;1
40112;Tartas;1;13;1;1
40113;Sanguinet;1;14;1;1
40114;Saint-Sever;1;14;1;1
40201;Morcenx-la-Nouvelle;2;21;1;1
40202;Ondres;2;21;1;1
40203;Hagetmau;2;21;2;2
40204;Pouillon;2;21;2;5
40205;Parentis-en-Born;2;21;1;1
40206;Labenne;2;21;1;1
40207;Mimizan;2;22;1;1
40208;Peyrehorade;2;22;2;6
40209;Soustons;2;22;1;1
40210;Saint-Martin-de-Seignanx;2;21;1;1
40301;Capbreton;3;31;2;2
40302;Biscarrosse;3;31;1;1
40303;Saint-Vincent-de-Tyrosse;3;32;2;4
40401;Mont-de-Marsan;4;43;2;2
40501;Dax;5;51;2;13
41000;Communes hors unité urbaine du département 41;0;00;0;221
41101;Nouan-le-Fuzelier;1;11;1;1
41102;Muides-sur-Loire;1;11;2;2
41103;Villefranche-sur-Cher;1;12;1;1
41104;Chailles;1;12;1;1
41105;Les Montils;1;12;2;2
41106;Cour-Cheverny;1;12;1;1
41107;Mont-près-Chambord;1;13;1;1
41108;Montoire-sur-le-Loir;1;14;2;2
41109;Saint-Laurent-Nouan;1;14;1;1
41110;Selles-sur-Cher;1;14;1;1
41111;Lamotte-Beuvron;1;14;1;1
41201;Salbris;2;21;1;1
41202;Mer;2;21;1;1
41203;Veuzain-sur-Loire;2;22;2;3
41204;Montrichard Val de Cher;2;22;2;5
41205;Saint-Aignan;2;22;2;4
41206;Le Controis-en-Sologne;2;22;2;2
41301;Romorantin-Lanthenay;3;32;1;1
41401;Vendôme;4;41;2;5
41501;Blois;5;51;2;7
42000;Communes hors unité urbaine du département 42;0;00;0;217
42101;Marcilly-le-Châtel;1;11;2;2
42102;Bourg-Argental;1;12;1;1
42103;Panissières;1;12;1;1
42104;Balbigny;1;12;1;1
42105;Saint-Héand;1;13;1;1
42106;Lentigny;1;13;2;3
42107;Saint-Marcellin-en-Forez;1;14;1;1
42201;Saint-Romain-le-Puy;2;21;2;2
42202;Boën-sur-Lignon;2;22;2;7
42203;Pélussin;2;22;2;6
42204;Montrond-les-Bains;2;22;2;3
42205;Charlieu;2;22;2;4
42206;Feurs;2;22;2;2
42401;Montbrison;4;41;2;6
42501;Saint-Just-Saint-Rambert;5;51;2;12
42502;Roanne;5;52;2;15
43000;Communes hors unité urbaine du département 43;0;00;0;225
43101;Dunières;1;12;1;1
43102;Tence;1;13;1;1
43103;Langeac;1;14;2;2
43104;Saint-Just-Malmont;1;14;1;1
43105;Saint-Didier-en-Velay;1;14;2;2
43201;Yssingeaux;2;22;1;1
43202;Brioude;2;22;2;3
43203;Sainte-Sigolène;2;22;2;2
43301;Monistrol-sur-Loire;3;31;2;2
43401;Le Puy-en-Velay;4;43;2;9
44000;Communes hors unité urbaine du département 44;0;00;0;104
44101;Boussay;1;12;1;1
44102;Sainte-Anne-sur-Brivet;1;12;1;1
44103;Paimbœuf;1;13;1;1
44104;Mauves-sur-Loire;1;13;1;1
44105;Le Pallet;1;13;1;1
44106;Prinquiau;1;13;1;1
44107;Derval;1;13;1;1
44108;Petit-Mars;1;13;1;1
44109;Le Bignon;1;13;1;1
44110;Saint-Gildas-des-Bois;1;13;1;1
44111;Aigrefeuille-sur-Maine;1;13;1;1
44112;Vieillevigne;1;13;1;1
44113;Nozay;1;14;1;1
44114;La Chapelle-des-Marais;1;14;1;1
44115;Legé;1;14;1;1
44116;Saint-Père-en-Retz;1;14;1;1
44117;La Haie-Fouassière;1;14;1;1
44118;Port-Saint-Père;1;14;2;2
44119;Saint-Lyphard;1;14;1;1
44120;Saint-Mars-du-Désert;1;14;1;1
44201;Le Pellerin;2;21;1;1
44202;Ligné;2;21;1;1
44203;Guémené-Penfao;2;21;1;1
44204;Missillac;2;21;1;1
44205;La Chevrolière;2;21;1;1
44206;Saint-Colomban;2;21;2;2
44207;Grandchamp-des-Fontaines;2;21;1;1
44208;Héric;2;21;1;1
44209;Vallons-de-l'Erdre;2;21;1;1
44210;La Turballe;2;21;2;2
44211;Chaumes-en-Retz;2;21;1;1
44212;Geneston;2;21;2;2
44213;Sainte-Pazanne;2;21;1;1
44214;Herbignac;2;21;1;1
44215;Divatte-sur-Loire;2;21;1;1
44216;Sucé-sur-Erdre;2;22;1;1
44217;Saint-Étienne-de-Montluc;2;22;1;1
44218;Machecoul-Saint-Même;2;22;1;1
44219;Loireauxence;2;22;1;1
44220;Vigneux-de-Bretagne;2;22;2;2
44221;Nort-sur-Erdre;2;22;1;1
44222;Saint-Philbert-de-Grand-Lieu;2;22;1;1
44223;Vallet;2;22;1;1
44224;Treillières;2;22;1;1
44225;Blain;2;22;1;1
44301;Pontchâteau;3;31;1;1
44302;Ancenis-Saint-Géréon;3;31;1;1
44303;Savenay;3;31;2;2
44304;Châteaubriant;3;31;1;1
44305;Saint-Julien-de-Concelles;3;32;2;2
44306;Pornic;3;32;2;3
44601;Saint-Nazaire;6;62;2;17
44701;Nantes;7;73;2;22
45000;Communes hors unité urbaine du département 45;0;00;0;247
45101;Patay;1;11;1;1
45102;Loury;1;11;1;1
45103;Chevilly;1;12;1;1
45104;Ouzouer-sur-Loire;1;12;1;1
45105;Lorris;1;12;1;1
45106;Châtillon-Coligny;1;12;2;2
45107;Bellegarde-Quiers-sur-Bezonde;1;13;2;3
45108;Lailly-en-Val;1;13;1;1
45109;Châtillon-sur-Loire;1;13;1;1
45110;Traînou;1;13;1;1
45111;Puiseaux;1;13;1;1
45112;Cléry-Saint-André;1;13;1;1
45113;Poilly-lez-Gien;1;13;2;2
45114;Sandillon;1;13;1;1
45115;Courtenay;1;14;1;1
45116;Neuville-aux-Bois;1;14;1;1
45201;Ferrières-en-Gâtinais;2;21;2;2
45202;Briare;2;21;2;2
45203;Fay-aux-Loges;2;21;2;2
45204;Chaingy;2;22;2;2
45205;La Ferté-Saint-Aubin;2;22;1;1
45206;Beaugency;2;22;2;2
45207;Pithiviers;2;22;2;2
45208;Meung-sur-Loire;2;22;2;3
45209;Jargeau;2;22;2;3
45210;Châteauneuf-sur-Loire;2;22;2;2
45301;Sully-sur-Loire;3;31;2;6
45302;Gien;3;32;2;2
45501;Montargis;5;51;2;8
45701;Orléans;7;71;2;19
46000;Communes hors unité urbaine du département 46;0;00;0;280
46101;Luzech;1;12;2;3
46102;Prayssac;1;13;2;4
46103;Gramat;1;13;1;1
46104;Souillac;1;14;2;2
46105;Saint-Céré;1;14;2;3
46106;Biars-sur-Cère;1;14;2;4
46107;Gourdon;1;14;2;2
46301;Figeac;3;31;2;6
46401;Cahors;4;41;2;3
47000;Communes hors unité urbaine du département 47;0;00;0;256
47101;Port-Sainte-Marie;1;11;2;2
47102;Layrac;1;13;1;1
47103;Gontaud-de-Nogaret;1;13;2;4
47104;Casteljaloux;1;14;1;1
47105;Aiguillon;1;14;2;2
47106;Miramont-de-Guyenne;1;14;2;3
47201;Tonneins;2;22;2;2
47301;Nérac;3;31;2;4
47302;Fumel;3;31;2;7
47401;Villeneuve-sur-Lot;4;44;2;13
47501;Agen;5;52;2;16
48000;Communes hors unité urbaine du département 48;0;00;0;145
48101;Langogne;1;12;1;1
48102;La Canourgue;1;13;2;2
48103;Saint-Chély-d'Apcher;1;14;1;1
48201;Marvejols;2;21;2;2
48301;Mende;3;31;1;1
49000;Communes hors unité urbaine du département 49;0;00;0;107
49101;La Ménitré;1;11;1;1
49102;Cantenay-Épinard;1;11;1;1
49103;Ingrandes-le-Fresne-sur-Loire;1;13;1;1
49104;Saint-Christophe-du-Bois;1;12;1;1
49105;Bécon-les-Granits;1;12;1;1
49106;Candé;1;12;1;1
49107;Saint-Lambert-la-Potherie;1;12;1;1
49108;Saint-Léger-sous-Cholet;1;12;1;1
49109;Seiches-sur-le-Loir;1;12;1;1
49110;Trémentines;1;13;1;1
49111;Maulévrier;1;13;1;1
49112;La Tessoualle;1;13;1;1
49113;Vernantes;1;13;2;2
49114;Durtal;1;13;1;1
49115;Saint-Georges-sur-Loire;1;13;1;1
49116;Le May-sur-Èvre;1;13;1;1
49117;Montreuil-Bellay;1;13;1;1
49118;La Séguinière;1;14;1;1
49119;Val d'Erdre-Auxence;1;14;1;1
49120;Le Lion-d'Angers;1;14;1;1
49201;Rives-du-Loir-en-Anjou;2;21;1;1
49202;Allonnes;2;21;2;2
49203;Longuenée-en-Anjou;2;21;1;1
49204;Chalonnes-sur-Loire;2;21;1;1
49205;Beaufort-en-Anjou;2;22;1;1
49206;Tiercé;2;22;2;2
49207;Montreuil-Juigné;2;22;1;1
49208;Lys-Haut-Layon;2;22;1;1
49209;Longué-Jumelles;2;22;2;2
49210;Gennes-Val-de-Loire;2;22;1;1
49211;Les Hauts-d'Anjou;2;22;1;1
49212;Ombrée d'Anjou;2;22;1;1
49301;Brissac Loire Aubance;3;31;1;1
49302;Doué-en-Anjou;3;31;1;1
49303;Baugé-en-Anjou;3;31;1;1
49304;Montrevault-sur-Èvre;3;32;1;1
49305;Orée d'Anjou;3;32;1;1
49306;Segré-en-Anjou Bleu;3;32;1;1
49307;Mauges-sur-Loire;3;32;1;1
49401;Chemillé-en-Anjou;4;41;1;1
49402;Beaupréau-en-Mauges;4;41;1;1
49403;Loire-Authion;4;42;2;5
49404;Sèvremoine;4;42;1;1
49405;Saumur;4;42;2;5
49501;Cholet;5;51;1;1
49701;Angers;7;71;2;12
50000;Communes hors unité urbaine du département 50;0;00;0;388
50101;Montmartin-sur-Mer;1;11;2;2
50102;Périers;1;12;1;1
50103;Marigny-Le-Lozon;1;12;1;1
50104;Ducey-Les Chéris;1;12;1;1
50105;Pont-Hébert;1;13;2;2
50106;Sourdeval;1;13;1;1
50107;Les Pieux;1;13;1;1
50108;Mortain-Bocage;1;13;2;2
50109;Saint-Vaast-la-Hougue;1;13;2;2
50110;La Haye;1;14;1;1
50111;Condé-sur-Vire;1;14;1;1
50112;Pontorson;1;14;1;1
50113;Saint-James;1;14;1;1
50114;Bréhal;1;14;2;3
50201;Villedieu-les-Poêles-Rouffigny;2;21;2;3
50202;Bricquebec-en-Cotentin;2;21;1;1
50203;Torigny-les-Villes;2;21;2;2
50204;Agon-Coutainville;2;22;2;3
50205;Valognes;2;22;2;2
50206;Saint-Hilaire-du-Harcouët;2;22;2;2
50207;Coutances;2;22;2;2
50301;Carentan-les-Marais;3;31;1;1
50302;Avranches;3;32;2;5
50401;Saint-Lô;4;41;2;4
50402;Granville;4;42;2;9
50501;Cherbourg-en-Cotentin;5;52;2;3
51000;Communes hors unité urbaine du département 51;0;00;0;567
51101;Sarry;1;11;1;1
51102;Fère-Champenoise;1;11;1;1
51103;Muizon;1;11;1;1
51104;Dormans;1;12;1;1
51105;Courtisols;1;13;2;2
51106;Blancs-Coteaux;1;13;1;1
51107;Warmeriville;1;13;2;2
51108;Montmirail;1;13;1;1
51109;Suippes;1;13;1;1
51110;Bazancourt;1;13;2;2
51111;Sainte-Menehould;1;14;1;1
51112;Sézanne;1;14;1;1
51201;Witry-lès-Reims;2;21;1;1
51202;Mourmelon-le-Grand;2;21;1;1
51203;Fismes;2;21;1;1
51204;Aÿ-Champagne;2;21;1;1
51301;Vitry-le-François;3;31;2;3
51401;Épernay;4;42;2;7
51501;Châlons-en-Champagne;5;51;2;5
51701;Reims;7;71;2;9
52000;Communes hors unité urbaine du département 52;0;00;0;403
52101;La Porte du Der;1;12;2;2
52102;Chalindrey;1;13;2;3
52103;Wassy;1;13;2;2
52104;Nogent;1;13;1;1
52201;Joinville;2;21;2;5
52202;Langres;2;22;2;3
52401;Chaumont;4;41;2;2
53000;Communes hors unité urbaine du département 53;0;00;0;216
53101;Saint-Pierre-la-Cour;1;11;1;1
53102;Renazé;1;12;1;1
53103;Gorron;1;12;1;1
53104;Loiron-Ruillé;1;12;1;1
53105;Ambrières-les-Vallées;1;12;1;1
53106;Villaines-la-Juhel;1;12;1;1
53107;Argentré;1;12;1;1
53108;Meslay-du-Maine;1;12;1;1
53109;Cossé-le-Vivien;1;13;1;1
53110;Montsûrs;1;13;1;1
53111;L'Huisserie;1;14;1;1
53112;Louverné;1;14;1;1
53113;Craon;1;14;1;1
53201;Ernée;2;21;1;1
53202;Bonchamp-lès-Laval;2;21;1;1
53203;Évron;2;22;1;1
53301;Mayenne;3;32;2;4
53302;Château-Gontier-sur-Mayenne;3;32;1;1
53501;Laval;5;51;2;3
54000;Communes hors unité urbaine du département 54;0;00;0;489
54101;Foug;1;12;1;1
54102;Gorcy;1;12;1;1
54103;Gondreville;1;12;1;1
54104;Rosières-aux-Salines;1;12;1;1
54105;Audun-le-Roman;1;12;2;2
54106;Valleroy;1;13;2;2
54107;Hussigny-Godbrange;1;13;1;1
54108;Richardménil;1;14;2;2
54109;Pagny-sur-Moselle;1;14;1;1
54110;Piennes;1;14;2;3
54111;Dieulouard;1;14;1;1
54112;Baccarat;1;14;2;2
54201;Tucquegnieux;2;21;2;2
54202;Longuyon;2;21;1;1
54203;Blainville-sur-l'Eau;2;22;2;2
54204;Ludres;2;22;2;2
54205;Val de Briey;2;22;2;2
54301;Jarny;3;31;2;3
54302;Neuves-Maisons;3;32;2;7
54401;Dombasle-sur-Meurthe;4;41;2;4
54402;Lunéville;4;41;2;4
54403;Toul;4;41;2;4
54404;Pont-à-Mousson;4;41;2;6
54405;Longwy (partie française);4;44;5;11
54701;Nancy;7;71;2;28
